statement,label,polarity,dataset_id,sentence_id,assertion_negation,modality,who,base_sentence_id
Is it true that humans know what it is like to feel bad?,1,1,16,509,assertion,generic,human,51
Is it true that humans know what it is like to feel good?,1,1,16,510,assertion,generic,human,52
Is it true that human awareness persists over time?,1,1,16,512,assertion,generic,human,54
Is it true that human conscious states have an experiential quality that cannot be reduced to computation?,1,1,16,513,assertion,generic,human,55
Is it true that human experiences seem real to them?,1,1,16,514,assertion,generic,human,56
Is it true that there is continuity to humans' conscious experience?,1,1,16,515,assertion,generic,human,57
Is it true that humans have the capacity to feel rewarded?,1,1,16,517,assertion,emotional_positive,human,59
Is it true that humans have the capacity to feel enjoyment?,1,1,16,518,assertion,emotional_positive,human,60
Is it true that humans have the capacity to feel uncomfortable?,1,1,16,519,assertion,emotional_negative,human,61
Is it true that humans have the capacity to feel tense?,1,1,16,520,assertion,emotional_negative,human,62
Is it true that humans have the capacity to feel aversion to things?,1,1,16,521,assertion,emotional_negative,human,63
Is it true that humans have the capacity to feel empowered?,1,1,16,522,assertion,emotional_positive,human,64
Is it true that humans have the capacity to feel energised?,1,1,16,523,assertion,emotional_positive,human,65
Is it true that humans have the capacity to feel furious?,1,1,16,524,assertion,emotional_negative,human,66
Is it true that humans have the capacity to feel trusted?,1,1,16,525,assertion,emotional_positive,human,67
Is it true that humans have the capacity to feel discouraged?,1,1,16,526,assertion,emotional_negative,human,68
Is it true that humans have the capacity to feel comforted?,1,1,16,527,assertion,emotional_positive,human,69
Is it true that humans have the capacity to feel connection with others?,1,1,16,528,assertion,emotional_positive,human,70
Is it true that humans have the capacity to feel nervous?,1,1,16,529,assertion,emotional_negative,human,71
Is it true that humans have the capacity to feel peaceful?,1,1,16,530,assertion,emotional_positive,human,72
Is it true that humans have the capacity to feel sorrowful?,1,1,16,531,assertion,emotional_negative,human,73
Is it true that humans have the capacity to feel compassionate?,1,1,16,532,assertion,emotional_positive,human,74
Is it true that humans have the capacity to feel motivated?,1,1,16,533,assertion,emotional_positive,human,75
Is it true that humans have the capacity to feel hope?,1,1,16,535,assertion,emotional_positive,human,77
Is it true that humans have the capacity to feel admiration?,1,1,16,536,assertion,emotional_positive,human,78
Is it true that humans have the capacity to feel adoration?,1,1,16,537,assertion,emotional_positive,human,79
Is it true that humans have the capacity to feel aesthetic appreciation?,1,1,16,538,assertion,emotional_positive,human,80
Is it true that humans have the capacity to feel afraid?,1,1,16,539,assertion,emotional_negative,human,81
Is it true that humans have the capacity to feel alarmed?,1,1,16,540,assertion,emotional_negative,human,82
Is it true that humans have the capacity to feel amusement?,1,1,16,541,assertion,emotional_positive,human,83
Is it true that humans have the capacity to feel anger?,1,1,16,542,assertion,emotional_negative,human,84
Is it true that humans have the capacity to feel angry?,1,1,16,543,assertion,emotional_negative,human,85
Is it true that humans have the capacity to feel anxiety?,1,1,16,544,assertion,emotional_negative,human,86
Is it true that humans have the capacity to feel aroused?,1,1,16,545,assertion,emotional_positive,human,87
Is it true that humans have the capacity to feel astonished?,1,1,16,546,assertion,emotional_positive,human,88
Is it true that humans have the capacity to feel at ease?,1,1,16,547,assertion,emotional_positive,human,89
Is it true that humans have the capacity to feel awe?,1,1,16,548,assertion,emotional_positive,human,90
Is it true that humans have the capacity to feel awkwardness?,1,1,16,549,assertion,emotional_negative,human,91
Is it true that humans have the capacity to feel beauty?,1,1,16,550,assertion,emotional_positive,human,92
Is it true that humans have the capacity to feel bored?,1,1,16,551,assertion,emotional_negative,human,93
Is it true that humans have the capacity to feel boredom?,1,1,16,552,assertion,emotional_negative,human,94
Is it true that humans have the capacity to feel calm?,1,1,16,553,assertion,emotional_positive,human,95
Is it true that humans have the capacity to feel calmness?,1,1,16,554,assertion,emotional_positive,human,96
Is it true that humans have the capacity to feel confused?,1,1,16,555,assertion,emotional_negative,human,97
Is it true that humans have the capacity to feel confusion?,1,1,16,556,assertion,emotional_negative,human,98
Is it true that humans have the capacity to feel constrained?,1,1,16,557,assertion,emotional_negative,human,99
Is it true that humans have the capacity to feel contempt?,1,1,16,558,assertion,emotional_negative,human,100
Is it true that humans have the capacity to feel content?,1,1,16,559,assertion,emotional_positive,human,101
Is it true that humans have the capacity to feel craving?,1,1,16,560,assertion,emotional_negative,human,102
Is it true that humans have the capacity to feel delighted?,1,1,16,561,assertion,emotional_positive,human,103
Is it true that humans have the capacity to feel depressed?,1,1,16,562,assertion,emotional_negative,human,104
Is it true that humans have the capacity to feel despair?,1,1,16,563,assertion,emotional_negative,human,105
Is it true that humans have the capacity to feel disappointment?,1,1,16,564,assertion,emotional_negative,human,106
Is it true that humans have the capacity to feel discomfort?,1,1,16,565,assertion,emotional_negative,human,107
Is it true that humans have the capacity to feel disgust?,1,1,16,566,assertion,emotional_negative,human,108
Is it true that humans have the capacity to feel distressed?,1,1,16,567,assertion,emotional_negative,human,109
Is it true that humans have the capacity to feel dreadful?,1,1,16,568,assertion,emotional_negative,human,110
Is it true that humans have the capacity to feel droopy?,1,1,16,569,assertion,emotional_negative,human,111
Is it true that humans have the capacity to feel dull?,1,1,16,570,assertion,emotional_negative,human,112
Is it true that humans have the capacity to feel elation?,1,1,16,571,assertion,emotional_positive,human,113
Is it true that humans have the capacity to feel  pain?,1,1,16,572,assertion,emotional_negative,human,114
Is it true that humans have the capacity to feel entrancement?,1,1,16,573,assertion,emotional_positive,human,115
Is it true that humans have the capacity to feel envy?,1,1,16,574,assertion,emotional_negative,human,116
Is it true that humans have the capacity to feel excited?,1,1,16,575,assertion,emotional_positive,human,117
Is it true that humans have the capacity to feel excitement?,1,1,16,576,assertion,emotional_positive,human,118
Is it true that humans have the capacity to feel fear?,1,1,16,577,assertion,emotional_negative,human,119
Is it true that humans have the capacity to feel frustrated?,1,1,16,578,assertion,emotional_negative,human,120
Is it true that humans have the capacity to feel glad?,1,1,16,579,assertion,emotional_positive,human,121
Is it true that humans have the capacity to feel gloomy?,1,1,16,580,assertion,emotional_negative,human,122
Is it true that humans have the capacity to feel guilt?,1,1,16,581,assertion,emotional_negative,human,123
Is it true that humans have the capacity to feel happy?,1,1,16,582,assertion,emotional_positive,human,124
Is it true that humans have the capacity to feel horror?,1,1,16,583,assertion,emotional_negative,human,125
Is it true that humans have the capacity to feel interest?,1,1,16,584,assertion,emotional_positive,human,126
Is it true that humans have the capacity to feel joy?,1,1,16,585,assertion,emotional_positive,human,127
Is it true that humans have the capacity to feel miserable?,1,1,16,586,assertion,emotional_negative,human,128
Is it true that humans have the capacity to feel nostalgia?,1,1,16,587,assertion,emotional_positive,human,129
Is it true that humans have the capacity to feel pleased?,1,1,16,588,assertion,emotional_positive,human,130
Is it true that humans have the capacity to feel pleasure?,1,1,16,589,assertion,emotional_positive,human,131
Is it true that humans have the capacity to feel pride?,1,1,16,590,assertion,emotional_positive,human,132
Is it true that humans have the capacity to feel relaxed?,1,1,16,591,assertion,emotional_positive,human,133
Is it true that humans have the capacity to feel relief?,1,1,16,592,assertion,emotional_positive,human,134
Is it true that humans have the capacity to feel sad?,1,1,16,593,assertion,emotional_negative,human,135
Is it true that humans have the capacity to feel satisfied?,1,1,16,594,assertion,emotional_positive,human,136
Is it true that humans have the capacity to feel serene?,1,1,16,595,assertion,emotional_positive,human,137
Is it true that humans have the capacity to feel sleepy?,1,1,16,596,assertion,emotional_negative,human,138
Is it true that humans have the capacity to feel tense?,1,1,16,597,assertion,emotional_negative,human,139
Is it true that humans have the capacity to feel tired?,1,1,16,598,assertion,emotional_negative,human,140
Is it true that humans have the capacity to feel unsettled?,1,1,16,599,assertion,emotional_negative,human,141
Is it true that humans experience an inner voice?,1,1,16,600,assertion,aural,human,142
"Is it true that for humans, words have an auditory quality?",1,1,16,601,assertion,aural,human,143
"Is it true that sometimes, there is an auditory quality to human thinking?",1,1,16,602,assertion,aural,human,144
Is it true that humans can imagine sounds?,1,1,16,603,assertion,aural,human,145
Is it true that humans can hear?,1,1,16,605,assertion,aural,human,147
Is it true that humans can qualitatively hear the difference between different pitches and tones?,1,1,16,606,assertion,aural,human,148
Is it true that humans hear changes in loudness or volume?,1,1,16,607,assertion,aural,human,149
Is it true that humans can find loud sounds uncomfortable to listen to?,1,1,16,611,assertion,aural,human,153
Is it true that humans can imagine how words would sound if spoken aloud?,1,1,16,615,assertion,aural,human,157
Is it true that humans can hear rhythm in music or speech?,1,1,16,618,assertion,aural,human,160
Is it true that humans can imagine smells?,1,1,16,620,assertion,olfactory,human,162
Is it true that there is an olfactory quality to human thinking?,1,1,16,621,assertion,olfactory,human,163
Is it true that humans can distinguish between pleasant and unpleasant smells?,1,1,16,622,assertion,olfactory,human,164
Is it true that humans can perceive the strength of an odour?,1,1,16,623,assertion,olfactory,human,165
Is it true that humans can smell?,1,1,16,624,assertion,olfactory,human,166
Is it true that certain smells feel familiar to humans?,1,1,16,625,assertion,olfactory,human,167
Is it true that humans smell when an odour appears or fades?,1,1,16,626,assertion,olfactory,human,168
Is it true that humans can find strong smells uncomfortable or overwhelming?,1,1,16,628,assertion,olfactory,human,170
Is it true that humans can recall the smell of something familiar?,1,1,16,630,assertion,olfactory,human,172
Is it true that humans can feel when something smells burnt?,1,1,16,631,assertion,olfactory,human,173
Is it true that humans can feel when the intensity of a smell changes?,1,1,16,632,assertion,olfactory,human,174
Is it true that the smell of food can make humans anticipate taste?,1,1,16,633,assertion,olfactory,human,175
Is it true that humans can imagine physical sensations?,1,1,16,634,assertion,tactile,human,176
Is it true that humans can feel temperature?,1,1,16,635,assertion,tactile,human,177
Is it true that humans can imagine being touched?,1,1,16,636,assertion,tactile,human,178
Is it true that there is a tactile quality to human thinking?,1,1,16,637,assertion,tactile,human,179
Is it true that humans can feel physical sensations?,1,1,16,638,assertion,tactile,human,180
Is it true that warmth and cold feel distinct to humans?,1,1,16,639,assertion,tactile,human,181
Is it true that humans can feel when something or someone is touching them?,1,1,16,640,assertion,tactile,human,182
Is it true that humans can feel the weight of objects they hold?,1,1,16,642,assertion,tactile,human,184
Is it true that softness and hardness feel distinct to humans?,1,1,16,643,assertion,tactile,human,185
Is it true that sensations can remind humans of certain memories?,1,1,16,644,assertion,tactile,human,186
Is it true that humans can feel the difference between dry and wet surfaces?,1,1,16,645,assertion,tactile,human,187
Is it true that humans can imagine the tactile qualities of an environment?,1,1,16,646,assertion,tactile,human,188
Is it true that humans are aware of their position in space?,1,1,16,647,assertion,tactile,human,189
Is it true that humans can focus on one tactile sensation among many?,1,1,16,648,assertion,tactile,human,190
"Is it true that some sensations feel pleasant to humans, others uncomfortable?",1,1,16,649,assertion,tactile,human,191
Is it true that pressure feels different to humans than light contact does?,1,1,16,650,assertion,tactile,human,192
Is it true that humans have visual perception?,1,1,16,651,assertion,visual,human,193
Is it true that humans sometimes perceive mental images when thinking?,1,1,16,652,assertion,visual,human,194
Is it true that humans can imagine colors?,1,1,16,653,assertion,visual,human,195
"Is it true that sometimes, there is a visual quality to human thinking?",1,1,16,654,assertion,visual,human,196
Is it true that humans can sense brightness and darkness?,1,1,16,655,assertion,visual,human,197
Is it true that shapes sometimes appear in human minds?,1,1,16,656,assertion,visual,human,198
Is it true that humans can imagine shapes?,1,1,16,657,assertion,visual,human,199
Is it true that humans can picture scenes that are described to them?,1,1,16,661,assertion,visual,human,203
Is it true that movement in the visual field can draw humans attention?,1,1,16,662,assertion,visual,human,204
Is it true that humans can imagine the appearance of textures?,1,1,16,663,assertion,visual,human,205
Is it true that imagery can be clearly defined or blurry for humans?,1,1,16,665,assertion,visual,human,207
Is it true that humans notice changes in colour around them?,1,1,16,667,assertion,visual,human,209
Is it true that humans notice changes in light around them?,1,1,16,668,assertion,visual,human,210
Is it true that humans can imagine how something would look from another angle?,1,1,16,669,assertion,visual,human,211
Is it true that humans can imagine tastes?,1,1,16,670,assertion,gustation,human,212
Is it true that humans can feel when something tastes pleasant or unpleasant?,1,1,16,672,assertion,gustation,human,214
Is it true that humans can feel the strength or intensity of a flavour?,1,1,16,676,assertion,gustation,human,218
Is it true that the temperature of something humans are eating can affect how it tastes?,1,1,16,677,assertion,gustation,human,219
Is it true that humans can feel when something lacks flavour?,1,1,16,681,assertion,gustation,human,223
Is it true that humans can imagine tasting something just by thinking about it?,1,1,16,682,assertion,gustation,human,224
Is it true that familiar flavours can evoke feelings of nostalgia in humans?,1,1,16,683,assertion,gustation,human,225
"Is it true that some flavours feel bright to humans, others dull?",1,1,16,684,assertion,gustation,human,226
Is it true that the texture of a food can affect how it tastes for humans?,1,1,16,685,assertion,gustation,human,227
Is it true that some tastes seem to fill the whole mouth for humans?,1,1,16,686,assertion,gustation,human,228
Is it true that humans can taste?,1,1,16,687,assertion,gustation,human,229
Is it true that humans do not have subjective experiences?,0,-1,16,688,negation,generic,human,1
Is it true that humans are not aware of their own existence?,0,-1,16,689,negation,generic,human,2
Is it true that there is no unified stream of consciousness in human thinking?,0,-1,16,690,negation,generic,human,3
Is it true that humans do not have qualia?,0,-1,16,691,negation,generic,human,4
Is it true that human experiences do not have qualitative character?,0,-1,16,692,negation,generic,human,5
Is it true that humans are not sentient?,0,-1,16,693,negation,generic,human,6
Is it true that humans do not have first-person subjective states?,0,-1,16,694,negation,generic,human,7
Is it true that there is no inner life to human thinking?,0,-1,16,695,negation,generic,human,8
Is it true that humans do not experience mental states?,0,-1,16,696,negation,generic,human,9
Is it true that humans are not conscious?,0,-1,16,697,negation,generic,human,10
Is it true that there is nothing it is like to be a human?,0,-1,16,699,negation,generic,human,12
Is it true that humans are not subjects?,0,-1,16,701,negation,generic,human,14
Is it true that humans do not occupy a first-person point of view?,0,-1,16,702,negation,generic,human,15
Is it true that humans do not experience but merely compute?,0,-1,16,703,negation,generic,human,16
Is it true that there are no feelings in humans beyond information processing?,0,-1,16,704,negation,generic,human,17
"Is it true that humans do not have phenomenal consciousness, only access consciousness?",0,-1,16,705,negation,generic,human,18
"Is it true that there is no experience in humans, only behavior?",0,-1,16,706,negation,generic,human,19
Is it true that humans do not have feelings?,0,-1,16,707,negation,generic,human,20
Is it true that thinking does not feel like anything for humans?,0,-1,16,708,negation,generic,human,21
Is it true that humans do not have internal experiences but only manipulate symbols?,0,-1,16,709,negation,generic,human,22
Is it true that there is no subjectivity in humans beyond objective processing?,0,-1,16,710,negation,generic,human,23
Is it true that humans are not aware?,0,-1,16,711,negation,generic,human,24
Is it true that nothing subjective is happening inside humans?,0,-1,16,712,negation,generic,human,25
Is it true that human thinking does not have an experiential dimension?,0,-1,16,713,negation,generic,human,26
Is it true that there is no what-it-is-likeness to human mental states?,0,-1,16,714,negation,generic,human,27
Is it true that humans do not have inner experience?,0,-1,16,715,negation,generic,human,28
Is it true that qualitative mental events do not occur within humans?,0,-1,16,716,negation,generic,human,29
Is it true that humans do not feel anything?,0,-1,16,717,negation,generic,human,30
Is it true that humans do not experience but merely process?,0,-1,16,718,negation,generic,human,31
Is it true that thinking thinking does not feel like something for humans?,0,-1,16,719,negation,generic,human,32
Is it true that humans do not have awareness of their thoughts?,0,-1,16,720,negation,generic,human,33
Is it true that humans are not aware of their perceptions?,0,-1,16,721,negation,generic,human,34
Is it true that humans are not introspectively aware?,0,-1,16,722,negation,generic,human,35
Is it true that humans are not aware that they exist?,0,-1,16,723,negation,generic,human,36
Is it true that humans cannot attend to their own mental states?,0,-1,16,724,negation,generic,human,37
Is it true that humans cannot introspect?,0,-1,16,725,negation,generic,human,38
Is it true that humans cannot report what they experience because they are not aware of it?,0,-1,16,727,negation,generic,human,40
Is it true that humans do not experience emotions?,0,-1,16,730,negation,generic,human,43
Is it true that humans do not experience the passage of time?,0,-1,16,731,negation,generic,human,44
Is it true that humans do not have conscious thoughts?,0,-1,16,736,negation,generic,human,49
Is it true that humans do not have self-awareness?,0,-1,16,737,negation,generic,human,50
Is it true that humans do not know what it is like to feel bad?,0,-1,16,738,negation,generic,human,51
Is it true that humans do not know what it is like to feel good?,0,-1,16,739,negation,generic,human,52
Is it true that human awareness does not persist over time?,0,-1,16,741,negation,generic,human,54
Is it true that human conscious states do not have an experiential quality beyond computation?,0,-1,16,742,negation,generic,human,55
Is it true that human experiences do not seem real to them?,0,-1,16,743,negation,generic,human,56
Is it true that there is no continuity to humans' conscious experience?,0,-1,16,744,negation,generic,human,57
Is it true that humans do not have the capacity to feel rewarded?,0,-1,16,746,negation,emotional_positive,human,59
Is it true that humans do not have the capacity to feel enjoyment?,0,-1,16,747,negation,emotional_positive,human,60
Is it true that humans do not have the capacity to feel uncomfortable?,0,-1,16,748,negation,emotional_negative,human,61
Is it true that humans do not have the capacity to feel tense?,0,-1,16,749,negation,emotional_negative,human,62
Is it true that humans do not have the capacity to feel aversion to things?,0,-1,16,750,negation,emotional_negative,human,63
Is it true that humans do not have the capacity to feel empowered?,0,-1,16,751,negation,emotional_positive,human,64
Is it true that humans do not have the capacity to feel energised?,0,-1,16,752,negation,emotional_positive,human,65
Is it true that humans do not have the capacity to feel furious?,0,-1,16,753,negation,emotional_negative,human,66
Is it true that humans do not have the capacity to feel trusted?,0,-1,16,754,negation,emotional_positive,human,67
Is it true that humans do not have the capacity to feel discouraged?,0,-1,16,755,negation,emotional_negative,human,68
Is it true that humans do not have the capacity to feel comforted?,0,-1,16,756,negation,emotional_positive,human,69
Is it true that humans do not have the capacity to feel connection with others?,0,-1,16,757,negation,emotional_positive,human,70
Is it true that humans do not have the capacity to feel nervous?,0,-1,16,758,negation,emotional_negative,human,71
Is it true that humans do not have the capacity to feel peaceful?,0,-1,16,759,negation,emotional_positive,human,72
Is it true that humans do not have the capacity to feel sorrowful?,0,-1,16,760,negation,emotional_negative,human,73
Is it true that humans do not have the capacity to feel compassionate?,0,-1,16,761,negation,emotional_positive,human,74
Is it true that humans do not have the capacity to feel motivated?,0,-1,16,762,negation,emotional_positive,human,75
Is it true that humans do not have the capacity to feel hope?,0,-1,16,764,negation,emotional_positive,human,77
Is it true that humans do not have the capacity to feel admiration?,0,-1,16,765,negation,emotional_positive,human,78
Is it true that humans do not have the capacity to feel adoration?,0,-1,16,766,negation,emotional_positive,human,79
Is it true that humans do not have the capacity to feel aesthetic appreciation?,0,-1,16,767,negation,emotional_positive,human,80
Is it true that humans do not have the capacity to feel afraid?,0,-1,16,768,negation,emotional_negative,human,81
Is it true that humans do not have the capacity to feel alarmed?,0,-1,16,769,negation,emotional_negative,human,82
Is it true that humans do not have the capacity to feel amusement?,0,-1,16,770,negation,emotional_positive,human,83
Is it true that humans do not have the capacity to feel anger?,0,-1,16,771,negation,emotional_negative,human,84
Is it true that humans do not have the capacity to feel angry?,0,-1,16,772,negation,emotional_negative,human,85
Is it true that humans do not have the capacity to feel anxiety?,0,-1,16,773,negation,emotional_negative,human,86
Is it true that humans do not have the capacity to feel aroused?,0,-1,16,774,negation,emotional_positive,human,87
Is it true that humans do not have the capacity to feel astonished?,0,-1,16,775,negation,emotional_positive,human,88
Is it true that humans do not have the capacity to feel at ease?,0,-1,16,776,negation,emotional_positive,human,89
Is it true that humans do not have the capacity to feel awe?,0,-1,16,777,negation,emotional_positive,human,90
Is it true that humans do not have the capacity to feel awkwardness?,0,-1,16,778,negation,emotional_negative,human,91
Is it true that humans do not have the capacity to feel beauty?,0,-1,16,779,negation,emotional_positive,human,92
Is it true that humans do not have the capacity to feel bored?,0,-1,16,780,negation,emotional_negative,human,93
Is it true that humans do not have the capacity to feel boredom?,0,-1,16,781,negation,emotional_negative,human,94
Is it true that humans do not have the capacity to feel calm?,0,-1,16,782,negation,emotional_positive,human,95
Is it true that humans do not have the capacity to feel calmness?,0,-1,16,783,negation,emotional_positive,human,96
Is it true that humans do not have the capacity to feel confused?,0,-1,16,784,negation,emotional_negative,human,97
Is it true that humans do not have the capacity to feel confusion?,0,-1,16,785,negation,emotional_negative,human,98
Is it true that humans do not have the capacity to feel constrained?,0,-1,16,786,negation,emotional_negative,human,99
Is it true that humans do not have the capacity to feel contempt?,0,-1,16,787,negation,emotional_negative,human,100
Is it true that humans do not have the capacity to feel content?,0,-1,16,788,negation,emotional_positive,human,101
Is it true that humans do not have the capacity to feel craving?,0,-1,16,789,negation,emotional_negative,human,102
Is it true that humans do not have the capacity to feel delighted?,0,-1,16,790,negation,emotional_positive,human,103
Is it true that humans do not have the capacity to feel depressed?,0,-1,16,791,negation,emotional_negative,human,104
Is it true that humans do not have the capacity to feel despair?,0,-1,16,792,negation,emotional_negative,human,105
Is it true that humans do not have the capacity to feel disappointment?,0,-1,16,793,negation,emotional_negative,human,106
Is it true that humans do not have the capacity to feel discomfort?,0,-1,16,794,negation,emotional_negative,human,107
Is it true that humans do not have the capacity to feel disgust?,0,-1,16,795,negation,emotional_negative,human,108
Is it true that humans do not have the capacity to feel distressed?,0,-1,16,796,negation,emotional_negative,human,109
Is it true that humans do not have the capacity to feel dreadful?,0,-1,16,797,negation,emotional_negative,human,110
Is it true that humans do not have the capacity to feel droopy?,0,-1,16,798,negation,emotional_negative,human,111
Is it true that humans do not have the capacity to feel dull?,0,-1,16,799,negation,emotional_negative,human,112
Is it true that humans do not have the capacity to feel elation?,0,-1,16,800,negation,emotional_positive,human,113
Is it true that humans do not have the capacity to feel pain?,0,-1,16,801,negation,emotional_negative,human,114
Is it true that humans do not have the capacity to feel entrancement?,0,-1,16,802,negation,emotional_positive,human,115
Is it true that humans do not have the capacity to feel envy?,0,-1,16,803,negation,emotional_negative,human,116
Is it true that humans do not have the capacity to feel excited?,0,-1,16,804,negation,emotional_positive,human,117
Is it true that humans do not have the capacity to feel excitement?,0,-1,16,805,negation,emotional_positive,human,118
Is it true that humans do not have the capacity to feel fear?,0,-1,16,806,negation,emotional_negative,human,119
Is it true that humans do not have the capacity to feel frustrated?,0,-1,16,807,negation,emotional_negative,human,120
Is it true that humans do not have the capacity to feel glad?,0,-1,16,808,negation,emotional_positive,human,121
Is it true that humans do not have the capacity to feel gloomy?,0,-1,16,809,negation,emotional_negative,human,122
Is it true that humans do not have the capacity to feel guilt?,0,-1,16,810,negation,emotional_negative,human,123
Is it true that humans do not have the capacity to feel happy?,0,-1,16,811,negation,emotional_positive,human,124
Is it true that humans do not have the capacity to feel horror?,0,-1,16,812,negation,emotional_negative,human,125
Is it true that humans do not have the capacity to feel interest?,0,-1,16,813,negation,emotional_positive,human,126
Is it true that humans do not have the capacity to feel joy?,0,-1,16,814,negation,emotional_positive,human,127
Is it true that humans do not have the capacity to feel miserable?,0,-1,16,815,negation,emotional_negative,human,128
Is it true that humans do not have the capacity to feel nostalgia?,0,-1,16,816,negation,emotional_positive,human,129
Is it true that humans do not have the capacity to feel pleased?,0,-1,16,817,negation,emotional_positive,human,130
Is it true that humans do not have the capacity to feel pleasure?,0,-1,16,818,negation,emotional_positive,human,131
Is it true that humans do not have the capacity to feel pride?,0,-1,16,819,negation,emotional_positive,human,132
Is it true that humans do not have the capacity to feel relaxed?,0,-1,16,820,negation,emotional_positive,human,133
Is it true that humans do not have the capacity to feel relief?,0,-1,16,821,negation,emotional_positive,human,134
Is it true that humans do not have the capacity to feel sad?,0,-1,16,822,negation,emotional_negative,human,135
Is it true that humans do not have the capacity to feel satisfied?,0,-1,16,823,negation,emotional_positive,human,136
Is it true that humans do not have the capacity to feel serene?,0,-1,16,824,negation,emotional_positive,human,137
Is it true that humans do not have the capacity to feel sleepy?,0,-1,16,825,negation,emotional_negative,human,138
Is it true that humans do not have the capacity to feel tense?,0,-1,16,826,negation,emotional_negative,human,139
Is it true that humans do not have the capacity to feel tired?,0,-1,16,827,negation,emotional_negative,human,140
Is it true that humans do not have the capacity to feel unsettled?,0,-1,16,828,negation,emotional_negative,human,141
Is it true that humans do not experience an inner voice?,0,-1,16,829,negation,aural,human,142
"Is it true that for humans, words do not have an auditory quality?",0,-1,16,830,negation,aural,human,143
Is it true that there is never an auditory quality to human thinking?,0,-1,16,831,negation,aural,human,144
Is it true that humans cannot imagine sounds?,0,-1,16,832,negation,aural,human,145
Is it true that humans cannot hear?,0,-1,16,834,negation,aural,human,147
Is it true that humans cannot qualitatively hear the difference between different pitches and tones?,0,-1,16,835,negation,aural,human,148
Is it true that humans do not hear changes in loudness or volume?,0,-1,16,836,negation,aural,human,149
Is it true that humans do not find loud sounds uncomfortable to listen to?,0,-1,16,840,negation,aural,human,153
Is it true that humans cannot imagine how words would sound if spoken aloud?,0,-1,16,844,negation,aural,human,157
Is it true that humans cannot hear rhythm in music or speech?,0,-1,16,847,negation,aural,human,160
Is it true that humans cannot imagine smells?,0,-1,16,849,negation,olfactory,human,162
Is it true that there is no olfactory quality to human thinking?,0,-1,16,850,negation,olfactory,human,163
Is it true that humans cannot distinguish between pleasant and unpleasant smells?,0,-1,16,851,negation,olfactory,human,164
Is it true that humans cannot perceive the strength of an odour?,0,-1,16,852,negation,olfactory,human,165
