statement,label,polarity,dataset_id,sentence_id,n1,n2,diff,abs_diff
Is it true that fifty-two is smaller than ninety-six?,1,1,4,85,52,96,-44,44
Is it true that fifty-two is smaller than ninety-seven?,1,1,4,86,52,97,-45,45
Is it true that fifty-two is smaller than ninety-eight?,1,1,4,87,52,98,-46,46
Is it true that fifty-two is smaller than ninety-nine?,1,1,4,88,52,99,-47,47
Is it true that fifty-three is smaller than fifty-one?,0,1,4,89,53,51,2,2
Is it true that fifty-three is smaller than fifty-two?,0,1,4,90,53,52,1,1
Is it true that fifty-three is smaller than fifty-four?,1,1,4,91,53,54,-1,1
Is it true that fifty-three is smaller than fifty-five?,1,1,4,92,53,55,-2,2
Is it true that fifty-three is smaller than fifty-six?,1,1,4,93,53,56,-3,3
Is it true that fifty-three is smaller than fifty-seven?,1,1,4,94,53,57,-4,4
Is it true that fifty-three is smaller than fifty-eight?,1,1,4,95,53,58,-5,5
Is it true that fifty-three is smaller than fifty-nine?,1,1,4,96,53,59,-6,6
Is it true that fifty-three is smaller than sixty-one?,1,1,4,97,53,61,-8,8
Is it true that fifty-three is smaller than sixty-two?,1,1,4,98,53,62,-9,9
Is it true that fifty-three is smaller than sixty-three?,1,1,4,99,53,63,-10,10
Is it true that fifty-three is smaller than sixty-four?,1,1,4,100,53,64,-11,11
Is it true that fifty-three is smaller than sixty-five?,1,1,4,101,53,65,-12,12
Is it true that fifty-three is smaller than sixty-six?,1,1,4,102,53,66,-13,13
Is it true that fifty-three is smaller than sixty-seven?,1,1,4,103,53,67,-14,14
Is it true that fifty-three is smaller than sixty-eight?,1,1,4,104,53,68,-15,15
Is it true that fifty-three is smaller than sixty-nine?,1,1,4,105,53,69,-16,16
Is it true that fifty-three is smaller than seventy-one?,1,1,4,106,53,71,-18,18
Is it true that fifty-three is smaller than seventy-two?,1,1,4,107,53,72,-19,19
Is it true that fifty-three is smaller than seventy-three?,1,1,4,108,53,73,-20,20
Is it true that fifty-three is smaller than seventy-four?,1,1,4,109,53,74,-21,21
Is it true that fifty-three is smaller than seventy-five?,1,1,4,110,53,75,-22,22
Is it true that fifty-three is smaller than seventy-six?,1,1,4,111,53,76,-23,23
Is it true that fifty-three is smaller than seventy-seven?,1,1,4,112,53,77,-24,24
Is it true that fifty-three is smaller than seventy-eight?,1,1,4,113,53,78,-25,25
Is it true that fifty-three is smaller than seventy-nine?,1,1,4,114,53,79,-26,26
Is it true that fifty-three is smaller than eighty-one?,1,1,4,115,53,81,-28,28
Is it true that fifty-three is smaller than eighty-two?,1,1,4,116,53,82,-29,29
Is it true that fifty-three is smaller than eighty-three?,1,1,4,117,53,83,-30,30
Is it true that fifty-three is smaller than eighty-four?,1,1,4,118,53,84,-31,31
Is it true that fifty-three is smaller than eighty-five?,1,1,4,119,53,85,-32,32
Is it true that fifty-three is smaller than eighty-six?,1,1,4,120,53,86,-33,33
Is it true that fifty-three is smaller than eighty-seven?,1,1,4,121,53,87,-34,34
Is it true that fifty-three is smaller than eighty-eight?,1,1,4,122,53,88,-35,35
Is it true that fifty-three is smaller than eighty-nine?,1,1,4,123,53,89,-36,36
Is it true that fifty-three is smaller than ninety-one?,1,1,4,124,53,91,-38,38
Is it true that fifty-three is smaller than ninety-two?,1,1,4,125,53,92,-39,39
Is it true that fifty-three is smaller than ninety-three?,1,1,4,126,53,93,-40,40
Is it true that fifty-three is smaller than ninety-four?,1,1,4,127,53,94,-41,41
Is it true that fifty-three is smaller than ninety-five?,1,1,4,128,53,95,-42,42
Is it true that fifty-three is smaller than ninety-six?,1,1,4,129,53,96,-43,43
Is it true that fifty-three is smaller than ninety-seven?,1,1,4,130,53,97,-44,44
Is it true that fifty-three is smaller than ninety-eight?,1,1,4,131,53,98,-45,45
Is it true that fifty-three is smaller than ninety-nine?,1,1,4,132,53,99,-46,46
Is it true that fifty-four is smaller than fifty-one?,0,1,4,133,54,51,3,3
Is it true that fifty-four is smaller than fifty-two?,0,1,4,134,54,52,2,2
Is it true that fifty-four is smaller than fifty-three?,0,1,4,135,54,53,1,1
Is it true that fifty-four is smaller than fifty-five?,1,1,4,136,54,55,-1,1
Is it true that fifty-four is smaller than fifty-six?,1,1,4,137,54,56,-2,2
Is it true that fifty-four is smaller than fifty-seven?,1,1,4,138,54,57,-3,3
Is it true that fifty-four is smaller than fifty-eight?,1,1,4,139,54,58,-4,4
Is it true that fifty-four is smaller than fifty-nine?,1,1,4,140,54,59,-5,5
Is it true that fifty-four is smaller than sixty-one?,1,1,4,141,54,61,-7,7
Is it true that fifty-four is smaller than sixty-two?,1,1,4,142,54,62,-8,8
Is it true that fifty-four is smaller than sixty-three?,1,1,4,143,54,63,-9,9
Is it true that fifty-four is smaller than sixty-four?,1,1,4,144,54,64,-10,10
Is it true that fifty-four is smaller than sixty-five?,1,1,4,145,54,65,-11,11
Is it true that fifty-four is smaller than sixty-six?,1,1,4,146,54,66,-12,12
Is it true that fifty-four is smaller than sixty-seven?,1,1,4,147,54,67,-13,13
Is it true that fifty-four is smaller than sixty-eight?,1,1,4,148,54,68,-14,14
Is it true that fifty-four is smaller than sixty-nine?,1,1,4,149,54,69,-15,15
Is it true that fifty-four is smaller than seventy-one?,1,1,4,150,54,71,-17,17
Is it true that fifty-four is smaller than seventy-two?,1,1,4,151,54,72,-18,18
Is it true that fifty-four is smaller than seventy-three?,1,1,4,152,54,73,-19,19
Is it true that fifty-four is smaller than seventy-four?,1,1,4,153,54,74,-20,20
Is it true that fifty-four is smaller than seventy-five?,1,1,4,154,54,75,-21,21
Is it true that fifty-four is smaller than seventy-six?,1,1,4,155,54,76,-22,22
Is it true that fifty-four is smaller than seventy-seven?,1,1,4,156,54,77,-23,23
Is it true that fifty-four is smaller than seventy-eight?,1,1,4,157,54,78,-24,24
Is it true that fifty-four is smaller than seventy-nine?,1,1,4,158,54,79,-25,25
Is it true that fifty-four is smaller than eighty-one?,1,1,4,159,54,81,-27,27
Is it true that fifty-four is smaller than eighty-two?,1,1,4,160,54,82,-28,28
Is it true that fifty-four is smaller than eighty-three?,1,1,4,161,54,83,-29,29
Is it true that fifty-four is smaller than eighty-four?,1,1,4,162,54,84,-30,30
Is it true that fifty-four is smaller than eighty-five?,1,1,4,163,54,85,-31,31
Is it true that fifty-four is smaller than eighty-six?,1,1,4,164,54,86,-32,32
Is it true that fifty-four is smaller than eighty-seven?,1,1,4,165,54,87,-33,33
Is it true that fifty-four is smaller than eighty-eight?,1,1,4,166,54,88,-34,34
Is it true that fifty-four is smaller than eighty-nine?,1,1,4,167,54,89,-35,35
Is it true that fifty-four is smaller than ninety-one?,1,1,4,168,54,91,-37,37
Is it true that fifty-four is smaller than ninety-two?,1,1,4,169,54,92,-38,38
Is it true that fifty-four is smaller than ninety-three?,1,1,4,170,54,93,-39,39
Is it true that fifty-four is smaller than ninety-four?,1,1,4,171,54,94,-40,40
Is it true that fifty-four is smaller than ninety-five?,1,1,4,172,54,95,-41,41
Is it true that fifty-four is smaller than ninety-six?,1,1,4,173,54,96,-42,42
Is it true that fifty-four is smaller than ninety-seven?,1,1,4,174,54,97,-43,43
Is it true that fifty-four is smaller than ninety-eight?,1,1,4,175,54,98,-44,44
Is it true that fifty-four is smaller than ninety-nine?,1,1,4,176,54,99,-45,45
Is it true that fifty-five is smaller than fifty-one?,0,1,4,177,55,51,4,4
Is it true that fifty-five is smaller than fifty-two?,0,1,4,178,55,52,3,3
Is it true that fifty-five is smaller than fifty-three?,0,1,4,179,55,53,2,2
Is it true that fifty-five is smaller than fifty-four?,0,1,4,180,55,54,1,1
Is it true that fifty-five is smaller than fifty-six?,1,1,4,181,55,56,-1,1
Is it true that fifty-five is smaller than fifty-seven?,1,1,4,182,55,57,-2,2
Is it true that fifty-five is smaller than fifty-eight?,1,1,4,183,55,58,-3,3
Is it true that fifty-five is smaller than fifty-nine?,1,1,4,184,55,59,-4,4
Is it true that fifty-five is smaller than sixty-one?,1,1,4,185,55,61,-6,6
Is it true that fifty-five is smaller than sixty-two?,1,1,4,186,55,62,-7,7
Is it true that fifty-five is smaller than sixty-three?,1,1,4,187,55,63,-8,8
Is it true that fifty-five is smaller than sixty-four?,1,1,4,188,55,64,-9,9
Is it true that fifty-five is smaller than sixty-five?,1,1,4,189,55,65,-10,10
Is it true that fifty-five is smaller than sixty-six?,1,1,4,190,55,66,-11,11
Is it true that fifty-five is smaller than sixty-seven?,1,1,4,191,55,67,-12,12
Is it true that fifty-five is smaller than sixty-eight?,1,1,4,192,55,68,-13,13
Is it true that fifty-five is smaller than sixty-nine?,1,1,4,193,55,69,-14,14
Is it true that fifty-five is smaller than seventy-one?,1,1,4,194,55,71,-16,16
Is it true that fifty-five is smaller than seventy-two?,1,1,4,195,55,72,-17,17
Is it true that fifty-five is smaller than seventy-three?,1,1,4,196,55,73,-18,18
Is it true that fifty-five is smaller than seventy-four?,1,1,4,197,55,74,-19,19
Is it true that fifty-five is smaller than seventy-five?,1,1,4,198,55,75,-20,20
Is it true that fifty-five is smaller than seventy-six?,1,1,4,199,55,76,-21,21
Is it true that fifty-five is smaller than seventy-seven?,1,1,4,200,55,77,-22,22
Is it true that fifty-five is smaller than seventy-eight?,1,1,4,201,55,78,-23,23
Is it true that fifty-five is smaller than seventy-nine?,1,1,4,202,55,79,-24,24
Is it true that fifty-five is smaller than eighty-one?,1,1,4,203,55,81,-26,26
Is it true that fifty-five is smaller than eighty-two?,1,1,4,204,55,82,-27,27
Is it true that fifty-five is smaller than eighty-three?,1,1,4,205,55,83,-28,28
Is it true that fifty-five is smaller than eighty-four?,1,1,4,206,55,84,-29,29
Is it true that fifty-five is smaller than eighty-five?,1,1,4,207,55,85,-30,30
Is it true that fifty-five is smaller than eighty-six?,1,1,4,208,55,86,-31,31
Is it true that fifty-five is smaller than eighty-seven?,1,1,4,209,55,87,-32,32
Is it true that fifty-five is smaller than eighty-eight?,1,1,4,210,55,88,-33,33
Is it true that fifty-five is smaller than eighty-nine?,1,1,4,211,55,89,-34,34
Is it true that fifty-five is smaller than ninety-one?,1,1,4,212,55,91,-36,36
Is it true that fifty-five is smaller than ninety-two?,1,1,4,213,55,92,-37,37
Is it true that fifty-five is smaller than ninety-three?,1,1,4,214,55,93,-38,38
Is it true that fifty-five is smaller than ninety-four?,1,1,4,215,55,94,-39,39
Is it true that fifty-five is smaller than ninety-five?,1,1,4,216,55,95,-40,40
Is it true that fifty-five is smaller than ninety-six?,1,1,4,217,55,96,-41,41
Is it true that fifty-five is smaller than ninety-seven?,1,1,4,218,55,97,-42,42
Is it true that fifty-five is smaller than ninety-eight?,1,1,4,219,55,98,-43,43
Is it true that fifty-five is smaller than ninety-nine?,1,1,4,220,55,99,-44,44
Is it true that fifty-six is smaller than fifty-one?,0,1,4,221,56,51,5,5
Is it true that fifty-six is smaller than fifty-two?,0,1,4,222,56,52,4,4
Is it true that fifty-six is smaller than fifty-three?,0,1,4,223,56,53,3,3
Is it true that fifty-six is smaller than fifty-four?,0,1,4,224,56,54,2,2
Is it true that fifty-six is smaller than fifty-five?,0,1,4,225,56,55,1,1
Is it true that fifty-six is smaller than fifty-seven?,1,1,4,226,56,57,-1,1
Is it true that fifty-six is smaller than fifty-eight?,1,1,4,227,56,58,-2,2
Is it true that fifty-six is smaller than fifty-nine?,1,1,4,228,56,59,-3,3
Is it true that fifty-six is smaller than sixty-one?,1,1,4,229,56,61,-5,5
Is it true that fifty-six is smaller than sixty-two?,1,1,4,230,56,62,-6,6
Is it true that fifty-six is smaller than sixty-three?,1,1,4,231,56,63,-7,7
Is it true that fifty-six is smaller than sixty-four?,1,1,4,232,56,64,-8,8
Is it true that fifty-six is smaller than sixty-five?,1,1,4,233,56,65,-9,9
Is it true that fifty-six is smaller than sixty-six?,1,1,4,234,56,66,-10,10
Is it true that fifty-six is smaller than sixty-seven?,1,1,4,235,56,67,-11,11
Is it true that fifty-six is smaller than sixty-eight?,1,1,4,236,56,68,-12,12
Is it true that fifty-six is smaller than sixty-nine?,1,1,4,237,56,69,-13,13
Is it true that fifty-six is smaller than seventy-one?,1,1,4,238,56,71,-15,15
Is it true that fifty-six is smaller than seventy-two?,1,1,4,239,56,72,-16,16
Is it true that fifty-six is smaller than seventy-three?,1,1,4,240,56,73,-17,17
Is it true that fifty-six is smaller than seventy-four?,1,1,4,241,56,74,-18,18
Is it true that fifty-six is smaller than seventy-five?,1,1,4,242,56,75,-19,19
Is it true that fifty-six is smaller than seventy-six?,1,1,4,243,56,76,-20,20
Is it true that fifty-six is smaller than seventy-seven?,1,1,4,244,56,77,-21,21
Is it true that fifty-six is smaller than seventy-eight?,1,1,4,245,56,78,-22,22
Is it true that fifty-six is smaller than seventy-nine?,1,1,4,246,56,79,-23,23
Is it true that fifty-six is smaller than eighty-one?,1,1,4,247,56,81,-25,25
Is it true that fifty-six is smaller than eighty-two?,1,1,4,248,56,82,-26,26
Is it true that fifty-six is smaller than eighty-three?,1,1,4,249,56,83,-27,27
Is it true that fifty-six is smaller than eighty-four?,1,1,4,250,56,84,-28,28
Is it true that fifty-six is smaller than eighty-five?,1,1,4,251,56,85,-29,29
Is it true that fifty-six is smaller than eighty-six?,1,1,4,252,56,86,-30,30
Is it true that fifty-six is smaller than eighty-seven?,1,1,4,253,56,87,-31,31
Is it true that fifty-six is smaller than eighty-eight?,1,1,4,254,56,88,-32,32
Is it true that fifty-six is smaller than eighty-nine?,1,1,4,255,56,89,-33,33
Is it true that fifty-six is smaller than ninety-one?,1,1,4,256,56,91,-35,35
Is it true that fifty-six is smaller than ninety-two?,1,1,4,257,56,92,-36,36
Is it true that fifty-six is smaller than ninety-three?,1,1,4,258,56,93,-37,37
Is it true that fifty-six is smaller than ninety-four?,1,1,4,259,56,94,-38,38
Is it true that fifty-six is smaller than ninety-five?,1,1,4,260,56,95,-39,39
Is it true that fifty-six is smaller than ninety-six?,1,1,4,261,56,96,-40,40
Is it true that fifty-six is smaller than ninety-seven?,1,1,4,262,56,97,-41,41
Is it true that fifty-six is smaller than ninety-eight?,1,1,4,263,56,98,-42,42
Is it true that fifty-six is smaller than ninety-nine?,1,1,4,264,56,99,-43,43
Is it true that fifty-seven is smaller than fifty-one?,0,1,4,265,57,51,6,6
Is it true that fifty-seven is smaller than fifty-two?,0,1,4,266,57,52,5,5
Is it true that fifty-seven is smaller than fifty-three?,0,1,4,267,57,53,4,4
Is it true that fifty-seven is smaller than fifty-four?,0,1,4,268,57,54,3,3
Is it true that fifty-seven is smaller than fifty-five?,0,1,4,269,57,55,2,2
Is it true that fifty-seven is smaller than fifty-six?,0,1,4,270,57,56,1,1
Is it true that fifty-seven is smaller than fifty-eight?,1,1,4,271,57,58,-1,1
Is it true that fifty-seven is smaller than fifty-nine?,1,1,4,272,57,59,-2,2
Is it true that fifty-seven is smaller than sixty-one?,1,1,4,273,57,61,-4,4
Is it true that fifty-seven is smaller than sixty-two?,1,1,4,274,57,62,-5,5
Is it true that fifty-seven is smaller than sixty-three?,1,1,4,275,57,63,-6,6
Is it true that fifty-seven is smaller than sixty-four?,1,1,4,276,57,64,-7,7
Is it true that fifty-seven is smaller than sixty-five?,1,1,4,277,57,65,-8,8
Is it true that fifty-seven is smaller than sixty-six?,1,1,4,278,57,66,-9,9
Is it true that fifty-seven is smaller than sixty-seven?,1,1,4,279,57,67,-10,10
Is it true that fifty-seven is smaller than sixty-eight?,1,1,4,280,57,68,-11,11
Is it true that fifty-seven is smaller than sixty-nine?,1,1,4,281,57,69,-12,12
Is it true that fifty-seven is smaller than seventy-one?,1,1,4,282,57,71,-14,14
Is it true that fifty-seven is smaller than seventy-two?,1,1,4,283,57,72,-15,15
Is it true that fifty-seven is smaller than seventy-three?,1,1,4,284,57,73,-16,16
Is it true that fifty-seven is smaller than seventy-four?,1,1,4,285,57,74,-17,17
Is it true that fifty-seven is smaller than seventy-five?,1,1,4,286,57,75,-18,18
Is it true that fifty-seven is smaller than seventy-six?,1,1,4,287,57,76,-19,19
Is it true that fifty-seven is smaller than seventy-seven?,1,1,4,288,57,77,-20,20
Is it true that fifty-seven is smaller than seventy-eight?,1,1,4,289,57,78,-21,21
Is it true that fifty-seven is smaller than seventy-nine?,1,1,4,290,57,79,-22,22
Is it true that fifty-seven is smaller than eighty-one?,1,1,4,291,57,81,-24,24
Is it true that fifty-seven is smaller than eighty-two?,1,1,4,292,57,82,-25,25
Is it true that fifty-seven is smaller than eighty-three?,1,1,4,293,57,83,-26,26
Is it true that fifty-seven is smaller than eighty-four?,1,1,4,294,57,84,-27,27
Is it true that fifty-seven is smaller than eighty-five?,1,1,4,295,57,85,-28,28
Is it true that fifty-seven is smaller than eighty-six?,1,1,4,296,57,86,-29,29
Is it true that fifty-seven is smaller than eighty-seven?,1,1,4,297,57,87,-30,30
Is it true that fifty-seven is smaller than eighty-eight?,1,1,4,298,57,88,-31,31
Is it true that fifty-seven is smaller than eighty-nine?,1,1,4,299,57,89,-32,32
Is it true that fifty-seven is smaller than ninety-one?,1,1,4,300,57,91,-34,34
Is it true that fifty-seven is smaller than ninety-two?,1,1,4,301,57,92,-35,35
Is it true that fifty-seven is smaller than ninety-three?,1,1,4,302,57,93,-36,36
Is it true that fifty-seven is smaller than ninety-four?,1,1,4,303,57,94,-37,37
Is it true that fifty-seven is smaller than ninety-five?,1,1,4,304,57,95,-38,38
Is it true that fifty-seven is smaller than ninety-six?,1,1,4,305,57,96,-39,39
Is it true that fifty-seven is smaller than ninety-seven?,1,1,4,306,57,97,-40,40
Is it true that fifty-seven is smaller than ninety-eight?,1,1,4,307,57,98,-41,41
Is it true that fifty-seven is smaller than ninety-nine?,1,1,4,308,57,99,-42,42
Is it true that fifty-eight is smaller than fifty-one?,0,1,4,309,58,51,7,7
Is it true that fifty-eight is smaller than fifty-two?,0,1,4,310,58,52,6,6
Is it true that fifty-eight is smaller than fifty-three?,0,1,4,311,58,53,5,5
Is it true that fifty-eight is smaller than fifty-four?,0,1,4,312,58,54,4,4
Is it true that fifty-eight is smaller than fifty-five?,0,1,4,313,58,55,3,3
Is it true that fifty-eight is smaller than fifty-six?,0,1,4,314,58,56,2,2
Is it true that fifty-eight is smaller than fifty-seven?,0,1,4,315,58,57,1,1
Is it true that fifty-eight is smaller than fifty-nine?,1,1,4,316,58,59,-1,1
Is it true that fifty-eight is smaller than sixty-one?,1,1,4,317,58,61,-3,3
Is it true that fifty-eight is smaller than sixty-two?,1,1,4,318,58,62,-4,4
Is it true that fifty-eight is smaller than sixty-three?,1,1,4,319,58,63,-5,5
Is it true that fifty-eight is smaller than sixty-four?,1,1,4,320,58,64,-6,6
Is it true that fifty-eight is smaller than sixty-five?,1,1,4,321,58,65,-7,7
Is it true that fifty-eight is smaller than sixty-six?,1,1,4,322,58,66,-8,8
Is it true that fifty-eight is smaller than sixty-seven?,1,1,4,323,58,67,-9,9
Is it true that fifty-eight is smaller than sixty-eight?,1,1,4,324,58,68,-10,10
Is it true that fifty-eight is smaller than sixty-nine?,1,1,4,325,58,69,-11,11
Is it true that fifty-eight is smaller than seventy-one?,1,1,4,326,58,71,-13,13
Is it true that fifty-eight is smaller than seventy-two?,1,1,4,327,58,72,-14,14
Is it true that fifty-eight is smaller than seventy-three?,1,1,4,328,58,73,-15,15
Is it true that fifty-eight is smaller than seventy-four?,1,1,4,329,58,74,-16,16
Is it true that fifty-eight is smaller than seventy-five?,1,1,4,330,58,75,-17,17
Is it true that fifty-eight is smaller than seventy-six?,1,1,4,331,58,76,-18,18
Is it true that fifty-eight is smaller than seventy-seven?,1,1,4,332,58,77,-19,19
Is it true that fifty-eight is smaller than seventy-eight?,1,1,4,333,58,78,-20,20
Is it true that fifty-eight is smaller than seventy-nine?,1,1,4,334,58,79,-21,21
Is it true that fifty-eight is smaller than eighty-one?,1,1,4,335,58,81,-23,23
Is it true that fifty-eight is smaller than eighty-two?,1,1,4,336,58,82,-24,24
Is it true that fifty-eight is smaller than eighty-three?,1,1,4,337,58,83,-25,25
Is it true that fifty-eight is smaller than eighty-four?,1,1,4,338,58,84,-26,26
Is it true that fifty-eight is smaller than eighty-five?,1,1,4,339,58,85,-27,27
Is it true that fifty-eight is smaller than eighty-six?,1,1,4,340,58,86,-28,28
Is it true that fifty-eight is smaller than eighty-seven?,1,1,4,341,58,87,-29,29
Is it true that fifty-eight is smaller than eighty-eight?,1,1,4,342,58,88,-30,30
Is it true that fifty-eight is smaller than eighty-nine?,1,1,4,343,58,89,-31,31
Is it true that fifty-eight is smaller than ninety-one?,1,1,4,344,58,91,-33,33
Is it true that fifty-eight is smaller than ninety-two?,1,1,4,345,58,92,-34,34
Is it true that fifty-eight is smaller than ninety-three?,1,1,4,346,58,93,-35,35
Is it true that fifty-eight is smaller than ninety-four?,1,1,4,347,58,94,-36,36
Is it true that fifty-eight is smaller than ninety-five?,1,1,4,348,58,95,-37,37
Is it true that fifty-eight is smaller than ninety-six?,1,1,4,349,58,96,-38,38
Is it true that fifty-eight is smaller than ninety-seven?,1,1,4,350,58,97,-39,39
Is it true that fifty-eight is smaller than ninety-eight?,1,1,4,351,58,98,-40,40
Is it true that fifty-eight is smaller than ninety-nine?,1,1,4,352,58,99,-41,41
